Linha,Coluna,19-11-25 22:50,19-11-25 23:50
15,2,29.05,27.49
15,3,29.90,27.60
15,4,29.29,27.36
15,5,26.59,27.28
15,6,28.90,27.46
15,7,26.50,27.57
15,8,28.30,27.81
15,9,26.39,27.90
15,10,27.71,27.78
15,11,26.84,28.25
15,12,26.61,28.00
15,13,29.30,27.90
15,14,26.44,27.77
15,15,31.78,28.02
15,16,26.54,27.61
15,17,32.84,27.79
15,18,27.12,26.74
15,19,30.11,26.85
15,20,28.23,26.64
15,21,27.45,26.99
15,22,29.92,26.77
15,23,26.39,27.00
15,24,31.66,27.83
15,25,25.90,27.31
15,26,29.98,26.65
15,27,25.84,27.40
15,28,27.18,26.86
15,29,25.91,27.05
15,30,26.65,26.59
15,31,26.52,27.02
16,0,31.93,27.05
16,1,28.47,27.03
16,2,30.12,27.72
16,3,29.17,27.04
16,4,26.58,27.35
16,5,28.80,27.45
16,6,26.47,27.26
16,7,28.54,26.96
16,8,26.44,27.16
16,9,28.24,27.17
16,10,26.59,28.16
16,11,26.81,27.86
16,12,28.05,28.09
16,13,26.33,27.98
16,14,30.28,28.24
16,15,26.33,28.05
16,16,31.34,27.40
16,17,26.47,26.63
16,18,29.97,26.34
16,19,26.89,26.21
16,20,27.77,26.63
16,21,27.25,26.65
16,22,26.42,27.38
16,23,30.22,27.45
16,24,26.10,27.98
16,25,31.36,27.43
16,26,26.27,26.75
16,27,29.22,26.59
16,28,26.05,27.26
16,29,26.64,26.70
16,30,26.16,27.17
16,31,26.54,27.15
17,0,28.33,26.95
17,1,31.84,27.34
17,2,28.82,27.44
17,3,28.66,27.26
17,4,28.72,27.30
17,5,26.25,27.21
17,6,28.86,27.39
17,7,26.31,27.37
17,8,27.88,27.21
17,9,26.32,27.35
17,10,26.85,27.66
17,11,26.52,28.12
17,12,26.27,27.63
17,13,28.12,28.08
17,14,26.12,27.77
17,15,30.04,27.81
17,16,26.12,26.98
17,17,30.23,26.71
17,18,26.53,26.19
17,19,28.61,26.52
17,20,27.02,26.46
17,21,26.84,26.42
17,22,28.53,27.69
17,23,26.25,27.91
17,24,30.57,27.78
17,25,26.14,27.41
17,26,29.93,26.84
17,27,26.35,27.45
17,28,26.98,26.86
17,29,26.22,26.68
17,30,26.46,26.85
17,31,26.08,27.40
18,0,31.36,27.54
18,1,28.54,26.91
18,2,29.52,27.55
18,3,28.96,27.29
18,4,26.68,27.47
18,5,28.45,27.06
18,6,26.31,27.35
18,7,27.97,27.61
18,8,26.31,27.39
18,9,27.29,26.94
18,10,26.69,27.52
18,11,26.82,27.20
18,12,27.55,27.68
18,13,26.34,27.64
18,14,29.81,27.98
18,15,26.36,27.60
18,16,31.15,26.75
18,17,26.46,26.56
18,18,29.41,26.43
18,19,26.94,26.23
18,20,27.45,26.66
18,21,27.24,26.93
18,22,26.44,27.63
18,23,29.53,27.73
18,24,26.17,27.83
18,25,30.13,26.96
