timestamp_s,temp_ar_C,umid_ar_pct,temp_solo_C,umid_solo_pct
814825700,26.50,-1.00,-1.00,-1.00
814825710,26.56,-1.00,-1.00,-1.00
814825771,26.44,-1.00,-1.00,-1.00
814825832,26.44,-1.00,-1.00,-1.00
814825874,26.38,-1.00,-1.00,-1.00
814825884,26.38,-1.00,-1.00,-1.00
814825894,26.44,-1.00,-1.00,-1.00
814825904,26.38,-1.00,-1.00,-1.00
814825914,26.38,-1.00,-1.00,-1.00
814825924,26.38,-1.00,-1.00,-1.00
814825934,26.38,-1.00,-1.00,-1.00
814825944,26.38,-1.00,-1.00,-1.00
814825954,26.38,-1.00,-1.00,-1.00
814825964,26.38,-1.00,-1.00,-1.00
814825974,26.38,-1.00,-1.00,-1.00
814825984,26.38,-1.00,-1.00,-1.00
814825994,26.38,-1.00,-1.00,-1.00
814826004,26.38,-1.00,-1.00,-1.00
814826014,26.38,-1.00,-1.00,-1.00
814826024,26.31,-1.00,-1.00,-1.00
814826034,26.31,-1.00,-1.00,-1.00
814826044,26.38,-1.00,-1.00,-1.00
814826054,26.38,-1.00,-1.00,-1.00
814826064,26.38,-1.00,-1.00,-1.00
814826074,26.31,-1.00,-1.00,-1.00
814826084,26.31,-1.00,-1.00,-1.00
814826094,26.31,-1.00,-1.00,-1.00
814826104,26.31,-1.00,-1.00,-1.00
814826114,26.31,-1.00,-1.00,-1.00
814826124,26.31,-1.00,-1.00,-1.00
814826134,26.31,-1.00,-1.00,-1.00
814826144,26.31,-1.00,-1.00,-1.00
814826154,26.31,-1.00,-1.00,-1.00
814826164,26.31,-1.00,-1.00,-1.00
814826174,26.38,-1.00,-1.00,-1.00
814826184,26.31,-1.00,-1.00,-1.00
814826194,26.31,-1.00,-1.00,-1.00
814826204,26.38,-1.00,-1.00,-1.00
12,26.38,-1.00,-1.00,-1.00
22,26.44,-1.00,-1.00,-1.00
